CpuName,CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuCacheL1,CpuCacheL2,CpuCacheL3,,CpuFrequency,,,,CpuTDP,,CpuTurboClock,GpuName,,GpuBandwidth,GpuBaseClock,GpuBoostClock,,,,,,,,GpuMemorySize,,,,GpuPixelRate,,GpuNumberOfROPs,GpuShaderModel,GpuNumberOfShadingUnits,GpuNumberOfTMUs,GpuTextureRate,,,GameName,,,FPS
b'Intel Core i9-9900K',8,16,100,512,2048,16,,3600,,,,95,,5000,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,202.6
b'Intel Core i7-9700K',8,8,100,512,2048,12,,3600,,,,95,,4900,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,200.8
b'Intel Core i7-8700K',6,12,100,384,1536,12,,3700,,,,95,,4700,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,186.4
b'Intel Core i7-7700K',4,8,100,256,1024,8,,4200,,,,91,,4500,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,181
b'Intel Core i5-9400F',6,6,100,384,1536,9,,2900,,,,65,,4100,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,179.1
b'Intel Core i5-8600K',6,6,100,384,1536,9,,3600,,,,95,,4300,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,177.4
b'Intel Core i5-8400',6,6,100,384,1536,9,,2800,,,,65,,4000,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,173.8
b'Intel Core i5-7600K',4,4,100,256,1024,6,,3800,,,,91,,4200,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,172
b'Intel Core i5-7500',4,4,100,256,1024,6,,3400,,,,65,,3800,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,162.9
b'Intel Core i3-7100',2,4,100,128,512,3,,3900,,,,51,,3900,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,135.7
b'AMD Ryzen 9 3900X',12,24,100,1152,6144,64,,3800,,,,105,,4600,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,193.6
b'AMD Ryzen 7 3800X',8,16,100,768,4096,32,,3900,,,,105,,4500,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,191.7
b'AMD Ryzen 7 3700X',8,16,100,768,4096,32,,3600,,,,65,,4400,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,189.1
b'AMD Ryzen 5 3600X',6,12,100,576,3072,32,,3800,,,,95,,4400,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,188.1
b'AMD Ryzen 5 3600',6,12,100,576,3072,32,,3600,,,,65,,4200,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,182.8
b'AMD Ryzen 5 2600X',6,12,100,576,3072,16,,3600,,,,95,,4250,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,177.4
b'AMD Ryzen 5 1600X',6,12,100,576,3072,16,,3600,,,,95,,4000,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,166.5
b'AMD Ryzen 5 2600',6,12,100,576,3072,16,,3400,,,,65,,3900,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,164.7
b'AMD Ryzen 7 1700X',8,16,100,768,4096,16,,3400,,,,95,,3800,b'NVIDIA GeForce RTX 2070 SUPER',,448000,1605,1770,,,,,,,,8000,,,,113300,,64,b'6.5',2560,160,283200,,,b'callOfDutyWW2',,,159.3
b'Intel Core i9-9900K',8,16,100,512,2048,16,,3600,,,,95,,5000,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,198.1
b'Intel Core i7-9700K',8,8,100,512,2048,12,,3600,,,,95,,4900,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,196.4
b'Intel Core i7-8700K',6,12,100,384,1536,12,,3700,,,,95,,4700,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,182.3
b'Intel Core i7-7700K',4,8,100,256,1024,8,,4200,,,,91,,4500,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,177.1
b'Intel Core i5-9400F',6,6,100,384,1536,9,,2900,,,,65,,4100,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,175.1
b'Intel Core i5-8600K',6,6,100,384,1536,9,,3600,,,,95,,4300,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,173.5
b'Intel Core i5-8400',6,6,100,384,1536,9,,2800,,,,65,,4000,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,170
b'Intel Core i5-7600K',4,4,100,256,1024,6,,3800,,,,91,,4200,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,168.2
b'Intel Core i5-7500',4,4,100,256,1024,6,,3400,,,,65,,3800,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,159.3
b'Intel Core i3-7100',2,4,100,128,512,3,,3900,,,,51,,3900,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,132.7
b'AMD Ryzen 9 3900X',12,24,100,1152,6144,64,,3800,,,,105,,4600,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,189.4
b'AMD Ryzen 7 3800X',8,16,100,768,4096,32,,3900,,,,105,,4500,b'NVIDIA GeForce RTX 2070',,448000,1410,1620,,,,,,,,8000,,,,103700,,64,b'6.5',2304,144,233300,,,b'callOfDutyWW2',,,187.6
